Año,Trimestre,Provincia,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1000 Mbps,+1000-5000 Mbps,+5000 Mbps,Otras_Velocidades,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otras_Tecnologias,Total_Tecnologias
2024,1,Buenos Aires,502922.0,284608.0,1296268.0,959048.0,495509.0,1210949.0,170106.0,0.0,0.0,125147.0,159.13,27.8,81.1,203297.0,2790663.0,1799013.0,150290.0,101294.0,5044557.0
2024,1,Capital Federal,87102.0,37803.0,125198.0,394021.0,151870.0,639913.0,68804.0,0.0,0.0,0.0,229.94,48.78,119.53,70108.0,1177475.0,203756.0,4493.0,48879.0,1504711.0
2024,1,Catamarca,6543.0,5165.0,36072.0,17716.0,42.0,8471.0,854.0,0.0,0.0,70.0,91.45,17.5,68.82,5901.0,11025.0,56542.0,1384.0,81.0,74933.0
2024,1,Chaco,23852.0,8968.0,35430.0,55941.0,1925.0,24782.0,829.0,0.0,0.0,3816.0,107.51,12.48,46.7,11343.0,58929.0,64463.0,8404.0,12404.0,155543.0
2024,1,Chubut,76907.0,36631.0,39046.0,1257.0,1.0,161.0,33.0,0.0,0.0,16640.0,20.5,26.02,84.89,26306.0,77217.0,26356.0,30867.0,9930.0,170676.0
2024,1,Córdoba,206324.0,70133.0,250987.0,302237.0,12440.0,217107.0,8260.0,0.0,1.0,14710.0,114.89,27.77,90.7,102812.0,449784.0,458985.0,61121.0,9497.0,1082199.0
2024,1,Corrientes,37924.0,9101.0,35132.0,37081.0,4507.0,27640.0,267.0,0.0,0.0,6242.0,102.49,13.68,51.94,18390.0,85595.0,38268.0,10409.0,5232.0,157894.0
2024,1,Entre Ríos,90418.0,16985.0,46588.0,69813.0,2978.0,55087.0,708.0,0.0,0.0,13975.0,101.36,20.72,69.31,36574.0,158283.0,66180.0,23950.0,11565.0,296552.0
2024,1,Formosa,33300.0,4185.0,1645.0,11492.0,0.0,11685.0,109.0,0.0,0.0,302.0,83.8,10.08,39.61,9147.0,18631.0,17908.0,16851.0,181.0,62718.0
2024,1,Jujuy,27573.0,28556.0,45375.0,9396.0,3.0,4662.0,518.0,0.0,0.0,1970.0,47.52,14.74,57.65,10554.0,51093.0,51084.0,4106.0,1216.0,118053.0
2024,1,La Pampa,63852.0,16764.0,30171.0,7900.0,1298.0,603.0,8.0,0.0,0.0,1599.0,26.55,33.11,100.49,6844.0,59008.0,35556.0,19681.0,1106.0,122195.0
2024,1,La Rioja,3327.0,24979.0,41437.0,11474.0,137.0,6405.0,23.0,0.0,0.0,0.0,63.71,21.3,80.03,2827.0,55443.0,23086.0,6396.0,30.0,87782.0
2024,1,Mendoza,59842.0,30830.0,164518.0,28347.0,448.0,11626.0,1420.0,0.0,0.0,5566.0,51.85,14.67,52.59,17674.0,70932.0,185460.0,27606.0,925.0,302597.0
2024,1,Misiones,56475.0,9820.0,41281.0,51214.0,6727.0,26532.0,1981.0,0.0,0.0,8526.0,94.98,15.46,56.76,23217.0,77561.0,81498.0,13378.0,6902.0,202556.0
2024,1,Neuquén,49997.0,10750.0,22966.0,30688.0,5.0,29203.0,469.0,0.0,0.0,20168.0,98.16,23.66,79.5,24076.0,73298.0,41577.0,24387.0,908.0,164246.0
2024,1,Río Negro,44288.0,24809.0,33100.0,32969.0,1095.0,18715.0,467.0,0.0,0.0,15576.0,75.0,21.88,71.14,20841.0,49727.0,66889.0,17733.0,15829.0,171019.0
2024,1,Salta,92922.0,3193.0,29347.0,38917.0,557.0,29997.0,1282.0,0.0,0.0,6646.0,84.34,13.63,56.3,23858.0,99150.0,61543.0,11807.0,6503.0,202861.0
2024,1,San Juan,37120.0,12563.0,29086.0,3255.0,0.0,1796.0,91.0,0.0,0.0,22755.0,30.58,13.15,51.62,12669.0,18543.0,44904.0,23594.0,6956.0,106666.0
2024,1,San Luis,35760.0,79674.0,7794.0,1983.0,0.0,769.0,24142.0,0.0,0.0,5968.0,179.49,29.39,102.7,4038.0,41260.0,31539.0,78954.0,299.0,156090.0
2024,1,Santa Cruz,17818.0,8667.0,14444.0,4503.0,689.0,284.0,0.0,0.0,0.0,33803.0,31.6,20.1,67.58,7768.0,14435.0,49545.0,7799.0,661.0,80208.0
2024,1,Santa Fe,236209.0,71117.0,201734.0,216238.0,13551.0,157632.0,5928.0,2.0,9.0,16168.0,100.2,25.28,80.4,86548.0,399817.0,374288.0,44162.0,13773.0,918588.0
2024,1,Santiago Del Estero,66953.0,24299.0,12520.0,10230.0,0.0,9206.0,237.0,0.0,0.0,917.0,44.9,12.26,49.41,6644.0,80722.0,27018.0,7058.0,2920.0,124362.0
2024,1,Tierra Del Fuego,20699.0,27810.0,4724.0,496.0,33.0,671.0,0.0,1.0,0.0,7121.0,21.54,32.54,109.78,9357.0,48005.0,3684.0,177.0,332.0,61555.0
2024,1,Tucumán,37111.0,23861.0,81424.0,75389.0,4.0,44511.0,1807.0,0.0,0.0,488.0,103.36,14.98,60.48,33682.0,20361.0,205959.0,4075.0,518.0,264595.0
2023,4,Buenos Aires,518603.0,292602.0,1284651.0,935171.0,498237.0,1227632.0,161373.0,0.0,0.0,93351.0,158.49,27.68,80.96,223391.0,2797700.0,1784593.0,137993.0,67943.0,5011620.0
2023,4,Capital Federal,79552.0,34359.0,119563.0,383799.0,151811.0,637782.0,67501.0,0.0,0.0,0.0,234.44,47.8,117.02,58700.0,1198835.0,182520.0,4492.0,29820.0,1474367.0
2023,4,Catamarca,7079.0,5384.0,35874.0,16953.0,42.0,8551.0,627.0,0.0,0.0,77.0,89.4,17.46,68.63,6669.0,11016.0,55437.0,1384.0,81.0,74587.0
