Provincia,Partido,Localidad,Link Indec,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1024 Mbps,4000 Mbps,10000 Mbps,Otras_Velocidades,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,Otras_Tecnologias,Totales_Tecnologias
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,914.0,2356.0,2175.0,702.0,0.0,98.0,0.0,0.0,0.0,0.0,755,4600,0,2,742,0,727,0,6826
BUENOS AIRES,25 de Mayo,Del Valle,6854020,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0,0,0,1,0,0,10,192
BUENOS AIRES,25 de Mayo,Ernestina,6854030,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0,0,0,0,0,0,75
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,181,0,181
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,1139.0,351.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,782,0,496,0,0,185,16,1479
BUENOS AIRES,25 de Mayo,Pedernales,6854070,179.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,0,0,25,0,0,7,21,207
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,19
BUENOS AIRES,9 de Julio,9 de Julio,6588100,8302.0,2383.0,1002.0,1817.0,0.0,1209.0,12.0,0.0,0.0,0.0,4241,3553,80,6238,0,0,831,0,14943
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,0,0,0,0,0,0,60,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,474,0,474
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,0,0,2,0,0,0,2,197
BUENOS AIRES,9 de Julio,Morea,6588080,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,130,0,130
BUENOS AIRES,9 de Julio,Patricios,6588110,110.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,50,0,131
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,85.0,61.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,118,0,0,42,0,160
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,922.0,1231.0,1080.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,766,0,1,1417,0,0,1066,1,3251
